# IPTS  RUN   ratio  angle_at_max intensity
17894 70528 3.828298715665296 153.575 2809548.0
13068 47518 1.8345276785654456 26.0962 8953860.0
18634 77484 2.101397092530236 27.3824 58493334.0
14061 52762 2.256615819018882 104.72 3297891.0
20776 80993 2.374333280101648 103.085 21559841.0
17894 70647 3.774394311671624 153.341 2923038.0
17726 71836 2.392992581577491 98.6264 26831850.0
14061 52785 2.2343102065524265 104.603 3508746.0
21266 79497 2.394509256625542 79.1776 2443385.0
20354 78679 1.8541153292323636 52.7593 995862.0
13003 44105 5.553321035918563 156.033 2043790.0
13326 53350 2.7433121304425727 25.6296 446480.0
17379 60508 1.7111421295944835 105.999 3543407.0
21266 79555 2.2950685684977823 79.4117 8668558.0
20354 78516 1.8118375925346115 25.9795 1667214.0
20354 78906 1.8204012273808505 69.9997 678518.0
16287 61544 1.8698547493360438 25.8628 914970.0
13867 52357 2.783052015546714 31.6087 7066445.0
15975 56038 1.76370650466941 105.999 31195590.0
14061 52938 3.0038930980818845 104.836 2637745.0
15729 56090 2.798651803026499 76.3791 2433769.0
15729 56100 2.446751887966725 76.263 3113932.0
14550 55333 3.1284663961550323 99.3308 4606333.0
14061 53028 2.283747836369845 104.836 2972435.0
16550 64434 2.610588336134579 138.555 804999.0
20354 78871 1.926847932269619 69.8829 491360.0
17379 59592 1.8334601188629314 131.279 1669486.0
19386 76468 1.9449847055634817 25.8628 8057832.0
14179 51950 2.139644475691904 93.7167 7999228.0
12505 59316 3.630108869383956 76.263 34905130.0
14599 52597 3.9352531967871256 99.5656 15008741.0
16287 61433 1.917932751241152 135.037 929177.0
20354 79016 1.8487938549324119 131.396 860137.0
20354 78896 1.82407530399772 129.641 775417.0
13867 52220 1.6929608627234065 25.3965 2914306.0
20354 78486 1.7571678996153253 25.9795 1511147.0
16287 61823 1.877832347826087 131.045 1078125.0
20776 80926 2.3566748484525895 103.085 2639603.0
13326 53148 2.7820755746952144 26.0962 412175.0
13068 47625 1.8007760796059205 25.7462 16282608.0
17379 60498 1.7253043671764123 25.9795 3509659.0
17894 70615 3.7322332025641507 153.106 2914805.0
20354 78461 1.774538507390839 26.0962 1595421.0
13326 53227 2.675853676153538 25.7462 456877.0
13003 44095 4.471078636633084 156.033 2803706.0
14995 55642 3.7106970471261187 24.9309 5731535.0
13003 44156 4.1594412734212165 156.033 9016718.0
17894 70731 2.340585609915303 149.114 2131009.0
18958 74326 2.0126824408577955 102.616 2724239.0
15370 55928 2.187048330722563 111.432 31340686.0
