# IPTS  RUN   ratio  angle_at_max intensity
13326 53245 2.6009796498744278 25.8628 649824.0
19386 76532 2.0460311048521063 103.085 2443413.0
16427 60154 2.7106012518317764 33.0176 1164853.0
16427 60009 3.4184349470211024 27.7339 971047.0
16427 59823 2.631417495719043 31.8436 1332646.0
16427 59962 3.4300193788921285 27.3824 1077977.0
19386 76524 2.056192428283829 103.085 2794558.0
19386 76434 2.057309260965373 29.3764 556821.0
20354 78905 1.8352233515276992 135.037 765072.0
15382 56205 2.4017756508234203 27.2653 10360145.0
16427 60036 3.394011076627036 27.3824 1155767.0
15382 56179 2.3886277122355155 27.3824 9953459.0
13326 53219 2.6113636363636363 25.9795 464200.0
15382 56355 3.287313194556857 26.9143 1346722.0
14179 51914 3.8475592040143987 25.3965 812276.0
14179 51920 3.7789802480477723 25.28 925225.0
16427 60005 3.50884034466378 27.3824 1016759.0
19386 76458 1.9710723285324265 25.9795 8713076.0
16427 60167 2.6067326130957795 33.0176 1164986.0
20354 78929 1.8880879329892655 131.396 618289.0
16427 59915 2.413445045962533 32.9002 1492520.0
13376 49049 2.3507685546079307 18.6666 4577879.0
13376 49035 2.3506248761637956 18.7831 4718935.0
13326 53330 2.689785624211854 26.213 303719.0
20354 78966 1.8220290959308556 134.919 839980.0
20354 78596 1.7710112502229787 25.9795 1653745.0
16427 60243 2.5831189980261597 31.3737 1210331.0
13326 53203 2.6163279509372095 26.4466 428186.0
19355 75689 4.368233602265048 15.6273 312223.0
10999 39877 3.2599726000936244 17.0326 9194192.0
20354 78930 1.8936253955510116 133.157 637718.0
14414 52164 3.2166749727977977 26.0962 5528045.0
20354 78558 1.7728305226856373 25.9795 1328638.0
14179 51908 3.8417613542557136 25.6296 817689.0
16529 62600 2.1629554744080246 60.0306 1491659.0
19386 76435 2.04273379285415 29.6113 608605.0
16427 59940 3.5684150121002927 27.6167 930556.0
16427 59804 2.6982950537319175 32.9002 1309836.0
13326 53132 2.8083931562220736 25.3965 675884.0
13376 48997 2.4817502622670746 18.7831 3900604.0
10764 33212 2.365980371429409 136.211 11465328.0
20354 78579 1.7572437270225865 25.8628 914757.0
20354 78498 1.8085708692200138 25.9795 1654978.0
14414 52167 2.253118678863193 24.9309 100283089.0
19355 75665 2.8918128134893815 15.51 562220.0
16427 59943 3.505720823798627 27.4996 1006848.0
14414 52155 3.142408890992397 26.213 6076622.0
13326 53153 2.7563122707947945 26.4466 369756.0
20354 78870 1.8549129483344549 131.513 707396.0
20354 78487 1.7876004570832549 25.9795 1595333.0
13326 53373 2.6557161272813623 25.9795 663255.0
13376 49037 2.353249366863018 18.7831 4662893.0
13326 48404 2.0226138200167583 18.6666 21397181.0
14179 51986 3.230433720271285 25.7462 2140481.0
16427 60145 2.688675363859222 33.2522 1166660.0
13326 53139 2.98645392627445 26.213 210836.0
20354 78944 1.8124047573653161 133.274 729059.0
15382 56345 3.2608804104049303 27.0313 1359048.0
15382 56178 2.3951649783437996 27.3824 9925333.0
13376 48955 2.6284815822567054 18.8994 3327905.0
14179 52006 3.0748439431709933 25.7462 2368368.0
13326 53322 2.771438476172974 25.6296 478847.0
20354 78655 1.6997120240397323 25.8628 1725144.0
16427 59981 3.3905659599987183 27.6167 1092215.0
16529 62518 2.5528902184305378 25.7462 36457677.0
20354 78651 1.7145771418042435 25.8628 1595594.0
